Event,Time,Voltage1,Voltage2
136,1.119934290e-03,5.832664218e-02,-9.016830848e-01
136,1.139934290e-03,5.752262221e-02,-1.504698176e+00
136,1.159934290e-03,5.591458227e-02,-1.705703206e+00
136,1.179934290e-03,5.671860224e-02,-1.303693146e+00
136,1.199934290e-03,5.591458227e-02,-1.303693146e+00
136,1.219934290e-03,5.832664218e-02,-1.906708237e+00
136,1.239934290e-03,5.752262221e-02,-2.509723328e+00
136,1.259934290e-03,5.832664218e-02,-1.705703206e+00
136,1.279934290e-03,6.073870208e-02,-1.303693146e+00
136,1.299934290e-03,6.073870208e-02,-1.303693146e+00
136,1.319934290e-03,6.073870208e-02,-1.705703206e+00
136,1.339934290e-03,5.832664218e-02,-2.308718298e+00
136,1.359934290e-03,5.671860224e-02,-2.911733389e+00
136,1.379934290e-03,5.671860224e-02,-2.710728358e+00
136,1.399934290e-03,5.591458227e-02,-2.107713267e+00
136,1.419934290e-03,5.350252237e-02,-1.705703206e+00
136,1.439934290e-03,5.671860224e-02,-1.303693146e+00
136,1.459934290e-03,5.511056230e-02,-1.906708237e+00
136,1.479934290e-03,5.752262221e-02,-1.906708237e+00
136,1.499934290e-03,5.832664218e-02,-2.911733389e+00
136,1.519934290e-03,5.993468211e-02,-3.112738419e+00
136,1.539934290e-03,5.913066214e-02,-2.509723328e+00
136,1.559934290e-03,6.073870208e-02,-2.308718298e+00
136,1.579934290e-03,5.993468211e-02,-2.107713267e+00
136,1.599934290e-03,5.993468211e-02,-1.504698176e+00
136,1.619934290e-03,5.993468211e-02,-1.102688115e+00
136,1.639934290e-03,6.234674202e-02,-1.504698176e+00
136,1.659934290e-03,6.073870208e-02,-2.509723328e+00
136,1.679934290e-03,5.993468211e-02,-2.308718298e+00
136,1.699934290e-03,6.073870208e-02,-2.308718298e+00
136,1.719934290e-03,5.993468211e-02,-2.308718298e+00
136,1.739934290e-03,5.832664218e-02,-1.906708237e+00
136,1.759934290e-03,5.671860224e-02,-1.906708237e+00
136,1.779934290e-03,5.591458227e-02,-2.308718298e+00
136,1.799934290e-03,5.671860224e-02,-3.313743450e+00
136,1.819934290e-03,5.671860224e-02,-2.710728358e+00
136,1.839934290e-03,5.671860224e-02,-3.313743450e+00
136,1.859934290e-03,5.671860224e-02,-2.509723328e+00
136,1.879934290e-03,5.752262221e-02,-2.308718298e+00
136,1.899934290e-03,5.832664218e-02,-1.906708237e+00
136,1.919934290e-03,6.154272205e-02,-2.509723328e+00
136,1.939934290e-03,6.154272205e-02,-1.906708237e+00
136,1.959934290e-03,6.073870208e-02,-1.504698176e+00
136,1.979934290e-03,6.154272205e-02,-1.303693146e+00
136,1.999934290e-03,6.154272205e-02,-1.303693146e+00
136,2.019934290e-03,5.832664218e-02,-9.016830848e-01
136,2.039934290e-03,5.832664218e-02,-1.303693146e+00
136,2.059934290e-03,6.073870208e-02,-1.303693146e+00
136,2.079934290e-03,5.993468211e-02,-1.504698176e+00
136,2.099934290e-03,6.073870208e-02,-1.906708237e+00
136,2.119934290e-03,5.993468211e-02,-1.906708237e+00
136,2.139934290e-03,5.993468211e-02,-1.303693146e+00
136,2.159934290e-03,5.913066214e-02,-1.303693146e+00
136,2.179934290e-03,6.154272205e-02,-7.006780544e-01
136,2.199934290e-03,5.993468211e-02,-1.102688115e+00
136,2.219934290e-03,5.913066214e-02,-9.016830848e-01
136,2.239934290e-03,6.073870208e-02,-1.906708237e+00
136,2.259934290e-03,5.993468211e-02,-2.911733389e+00
